id,prediction 
id,1
31963,1
31964,1
31965,1
31966,1
31967,1
31968,1
31969,0
31970,1
31971,1
31972,1
31973,1
31974,1
31975,1
31976,1
31977,0
31978,1
31979,1
31980,1
31981,1
31982,1
31983,1
31984,1
31985,1
31986,1
31987,1
31988,1
31989,1
31990,1
31991,1
31992,1
31993,0
31994,1
31995,0
31996,0
31997,1
31998,1
31999,1
32000,0
32001,1
32002,1
32003,1
32004,1
32005,1
32006,1
32007,1
32008,1
32009,1
32010,1
32011,1
32012,1
32013,1
32014,1
32015,1
32016,1
32017,1
32018,1
32019,1
32020,1
32021,1
32022,1
32023,1
32024,1
32025,0
32026,1
32027,0
32028,1
32029,1
32030,1
32031,1
32032,0
32033,1
32034,1
32035,1
32036,1
32037,0
32038,1
32039,0
32040,1
32041,1
32042,1
32043,1
32044,1
32045,1
32046,1
32047,1
32048,1
32049,1
32050,1
32051,1
32052,1
32053,1
32054,1
32055,1
32056,1
32057,0
32058,1
32059,0
32060,1
32061,1
32062,1
32063,0
32064,1
32065,1
32066,1
32067,1
32068,0
32069,1
32070,1
32071,0
32072,0
32073,1
32074,1
32075,1
32076,1
32077,1
32078,1
32079,1
32080,0
32081,1
32082,0
32083,1
32084,1
32085,0
32086,1
32087,1
32088,1
32089,0
32090,1
32091,1
32092,1
32093,1
32094,1
32095,1
32096,1
32097,1
32098,1
32099,1
32100,0
32101,1
32102,1
32103,1
32104,1
32105,1
32106,0
32107,1
32108,0
32109,1
32110,1
32111,1
32112,1
32113,1
32114,1
32115,1
32116,1
32117,0
32118,1
32119,1
32120,1
32121,1
32122,1
32123,1
32124,0
32125,1
32126,1
32127,1
32128,1
32129,1
32130,1
32131,1
32132,1
32133,0
32134,0
32135,1
32136,1
32137,1
32138,1
32139,0
32140,1
32141,1
32142,1
32143,1
32144,0
32145,1
32146,1
32147,1
32148,0
32149,0
32150,1
32151,0
32152,1
32153,1
32154,0
32155,1
32156,1
32157,0
32158,1
32159,1
32160,1
32161,1
32162,0
32163,1
32164,1
32165,1
32166,1
32167,1
32168,1
32169,1
32170,1
32171,1
32172,1
32173,1
32174,1
32175,1
32176,1
32177,1
32178,1
32179,1
32180,1
32181,1
32182,1
32183,1
32184,1
32185,1
32186,1
32187,0
32188,0
32189,1
32190,1
32191,1
32192,1
32193,1
32194,0
32195,1
32196,1
32197,0
32198,1
32199,1
32200,0
32201,1
32202,1
32203,1
32204,1
32205,0
32206,1
32207,1
32208,0
32209,1
32210,1
32211,1
32212,1
32213,1
32214,0
32215,1
32216,1
32217,0
32218,1
32219,1
32220,1
32221,1
32222,1
32223,1
32224,0
32225,1
32226,1
32227,1
32228,1
32229,0
32230,1
32231,1
32232,1
32233,1
32234,0
32235,1
32236,1
32237,1
32238,1
32239,0
32240,1
32241,1
32242,1
32243,1
32244,1
32245,1
32246,1
32247,1
32248,1
32249,1
32250,1
32251,1
32252,1
32253,1
32254,1
32255,1
32256,1
32257,0
32258,1
32259,1
32260,1
32261,1
32262,1
32263,1
32264,1
32265,1
32266,1
32267,1
32268,0
32269,1
32270,1
32271,0
32272,0
32273,1
32274,1
32275,0
32276,1
32277,0
32278,1
32279,1
32280,1
32281,1
32282,1
32283,1
32284,1
32285,1
32286,1
32287,1
32288,1
32289,1
32290,0
32291,0
32292,0
32293,1
32294,1
32295,1
32296,1
32297,1
32298,0
32299,1
32300,1
32301,1
32302,0
32303,1
32304,0
32305,1
32306,1
32307,1
32308,0
32309,1
32310,0
32311,1
32312,1
32313,1
32314,1
32315,1
32316,1
32317,1
32318,1
32319,0
32320,0
32321,1
32322,1
32323,1
32324,0
32325,1
32326,0
32327,1
32328,1
32329,1
32330,1
32331,1
32332,1
32333,1
32334,0
32335,0
32336,1
32337,0
32338,0
32339,1
32340,0
32341,1
32342,1
32343,1
32344,1
32345,1
32346,1
32347,1
32348,0
32349,1
32350,1
32351,1
32352,1
32353,1
32354,0
32355,1
32356,0
32357,1
32358,0
32359,1
32360,1
32361,1
32362,1
32363,1
32364,1
32365,1
32366,0
32367,1
32368,1
32369,1
32370,1
32371,1
32372,1
32373,1
32374,1
32375,1
32376,1
32377,1
32378,1
32379,0
32380,1
32381,0
32382,1
32383,0
32384,1
32385,1
32386,1
32387,1
32388,1
32389,0
32390,1
32391,1
32392,1
32393,0
32394,1
32395,1
32396,0
32397,1
32398,1
32399,1
32400,1
32401,1
32402,1
32403,1
32404,0
32405,1
32406,1
32407,0
32408,1
32409,1
32410,1
32411,1
32412,1
32413,0
32414,0
32415,1
32416,1
32417,1
32418,1
32419,1
32420,1
32421,0
32422,1
32423,0
32424,1
32425,0
32426,1
32427,1
32428,1
32429,1
32430,1
32431,1
32432,1
32433,1
32434,1
32435,1
32436,1
32437,1
32438,1
32439,1
32440,1
32441,1
32442,1
32443,1
32444,1
32445,1
32446,1
32447,1
32448,1
32449,0
32450,1
32451,1
32452,1
32453,1
32454,1
32455,1
32456,0
32457,1
32458,1
32459,1
32460,0
32461,1
32462,1
32463,1
32464,1
32465,1
32466,1
32467,1
32468,1
32469,1
32470,0
32471,1
32472,1
32473,1
32474,1
32475,0
32476,0
32477,1
32478,1
32479,1
32480,1
32481,1
32482,1
32483,0
32484,1
32485,1
32486,1
32487,1
32488,1
32489,1
32490,1
32491,1
32492,0
32493,1
32494,0
32495,0
32496,1
32497,1
32498,0
32499,1
32500,1
32501,1
32502,0
32503,1
32504,1
32505,1
32506,0
32507,0
32508,1
32509,1
32510,1
32511,1
32512,1
32513,0
32514,1
32515,1
32516,1
32517,0
32518,1
32519,1
32520,1
32521,1
32522,0
32523,0
32524,1
32525,0
32526,1
32527,1
32528,1
32529,1
32530,1
32531,1
32532,1
32533,1
32534,1
32535,0
32536,1
32537,1
32538,1
32539,0
32540,1
32541,0
32542,0
32543,1
32544,1
32545,1
32546,1
32547,1
32548,1
32549,1
32550,1
32551,1
32552,1
32553,1
32554,1
32555,1
32556,1
32557,1
32558,1
32559,0
32560,1
32561,1
32562,1
32563,1
32564,1
32565,1
32566,1
32567,1
32568,0
32569,1
32570,1
32571,0
32572,1
32573,1
32574,0
32575,1
32576,1
32577,1
32578,1
32579,1
32580,1
32581,1
32582,1
32583,1
32584,1
32585,1
32586,1
32587,1
32588,1
32589,1
32590,1
32591,1
32592,1
32593,1
